final_success_rate,learning_curve_auc,rolling_auc,avg_training_return,avg_training_length,avg_repeated_state_rate,avg_unique_states,training_time,evaluation_return_mean,evaluation_episode_length_mean,evaluation_success_length_mean,evaluation_failed_length_mean,evaluation_repeated_state_rate_mean,evaluation_inference_time_mean,checkpoint_500,checkpoint_1000,checkpoint_2000,checkpoint_5000,checkpoint_10000,algorithm,environment,seed
1.0,3331.0,3244.6017327223817,0.3331,22.6425,0.30968863707681205,13.912,1.0233326701563783,1.0,14.0,14.0,0.0,0.0,4.169399256352335e-05,0.004,0.006,0.0175,0.1228,0.3331,qlearning,frozenlake_8x8,11
0.0,0.0,0.0,0.0,72.5308,0.7530368707044872,9.8846,3.1791987242759205,0.0,100.0,0.0,100.0,1.0,0.0002873213468119502,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,12
0.0,0.0,0.0,0.0,72.8836,0.752862899913815,9.9361,3.251811657974031,0.0,100.0,0.0,100.0,1.0,0.0002867325849365443,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,13
0.0,1.0,1.0,0.0001,72.0418,0.7505054127702926,9.9584,3.1384863049606793,0.0,100.0,0.0,100.0,1.0,0.00029070492484606803,0.0,0.0,0.0005,0.0002,0.0001,qlearning,frozenlake_8x8,14
0.0,0.0,0.0,0.0,72.5624,0.7534961468734985,9.9123,3.236592953559011,0.0,100.0,0.0,100.0,1.0,0.0002855073304381222,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,15
0.0,0.0,0.0,0.0,72.485,0.7528252770394904,9.8997,3.2841074169264175,0.0,100.0,0.0,100.0,1.0,0.00029121281451079996,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,16
0.0,0.0,0.0,0.0,72.7987,0.7547388075655997,9.9367,3.22405754000647,0.0,100.0,0.0,100.0,1.0,0.0002886447252240032,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,17
0.0,0.0,0.0,0.0,72.561,0.7538812697216136,9.9009,3.2332940720953047,0.0,100.0,0.0,100.0,1.0,0.0002938435723772272,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,18
0.0,0.0,0.0,0.0,72.4199,0.7537541439011087,9.8596,3.2182990938890725,0.0,100.0,0.0,100.0,1.0,0.0002867154984269291,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,19
0.0,0.0,0.0,0.0,72.6013,0.7533417645587132,9.8755,3.1742108177859336,0.0,100.0,0.0,100.0,1.0,0.00029107966052833946,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,20
0.0,0.0,0.0,0.0,72.4729,0.7531847684393358,9.8739,3.211118500912562,0.0,100.0,0.0,100.0,1.0,0.0002887806749204174,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,21
0.0,1.0,0.9999999999999999,0.0001,72.2558,0.7519799347434384,9.897,3.2621053011971526,0.0,100.0,0.0,100.0,1.0,0.00028164056222885846,0.0,0.0,0.0005,0.0002,0.0001,qlearning,frozenlake_8x8,22
0.0,1.0,0.9999999999999999,0.0001,72.5065,0.7523009515710984,9.8877,3.173238803690765,0.0,100.0,0.0,100.0,1.0,0.0002880550166592002,0.0,0.001,0.0005,0.0002,0.0001,qlearning,frozenlake_8x8,23
0.0,0.0,0.0,0.0,72.3767,0.7503718894064721,9.9428,3.3587904718588106,0.0,100.0,0.0,100.0,1.0,0.00029111051966901867,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,24
0.0,0.0,0.0,0.0,72.201,0.7515615778325554,9.8822,3.15953421080485,0.0,100.0,0.0,100.0,1.0,0.0002886724314885214,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,25
0.0,2.0,2.360008650901731,0.0002,72.3071,0.7527836630887114,9.9344,3.1740336819784716,0.0,100.0,0.0,100.0,1.0,0.0002877271751640365,0.002,0.001,0.001,0.0004,0.0002,qlearning,frozenlake_8x8,26
1.0,3322.5,3234.8625,0.3323,22.9111,0.316759741993581,13.7979,1.0160835693241097,1.0,14.0,14.0,0.0,0.0,4.1554253199137745e-05,0.004,0.004,0.0165,0.1122,0.3323,qlearning,frozenlake_8x8,27
1.0,3349.5,3261.729062694153,0.335,23.3314,0.3219779522587218,13.8316,1.0257980104070157,1.0,14.0,14.0,0.0,0.0,4.2296305415220556e-05,0.002,0.005,0.0205,0.114,0.335,qlearning,frozenlake_8x8,28
0.0,0.0,0.0,0.0,72.794,0.7544422120187163,9.8879,3.1921896866406314,0.0,100.0,0.0,100.0,1.0,0.0002855031628860161,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,29
0.214,599.5,568.7049999999999,0.06,49.2564,0.553373837823821,15.7346,2.221016123367008,0.214,75.626,70.1214953271028,77.12468193384224,0.5938628538418523,0.0002209402641747147,0.0,0.001,0.0025,0.008,0.06,qlearning,frozenlake_8x8_stochastic,0
0.0,0.0,0.0,0.0,50.7266,0.631033060435374,11.526,2.275946930691134,0.0,100.0,0.0,100.0,0.8439,0.00029399517364799975,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8_stochastic,1
0.0,0.0,0.0,0.0,50.6453,0.6280435196516814,11.5845,2.2499207974178717,0.0,100.0,0.0,100.0,0.84378,0.0002931712243007496,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8_stochastic,2
0.194,644.0,618.8675000000001,0.0644,49.6091,0.5549044259773415,15.8858,2.196330201055389,0.194,80.046,64.29896907216495,83.8362282878412,0.7057938533504777,0.000236979303881526,0.004,0.003,0.0035,0.0112,0.0644,qlearning,frozenlake_8x8_stochastic,3
0.158,603.5,590.365,0.0604,49.5849,0.554871562910775,15.8541,2.204818604979664,0.158,78.458,65.9873417721519,80.79809976247031,0.6198732782438404,0.00023303599515929818,0.0,0.001,0.001,0.0106,0.0604,qlearning,frozenlake_8x8_stochastic,4
0.3,658.0,628.060637228454,0.0658,49.1623,0.5517118409994606,15.8134,2.1794747557723895,0.3,88.798,68.6,97.45428571428572,0.680333333717027,0.00026498553017154336,0.002,0.004,0.003,0.0118,0.0658,qlearning,frozenlake_8x8_stochastic,5
0.38,604.0,576.5588694590783,0.0604,49.4258,0.5555105594820053,15.8139,2.2046995782875456,0.38,73.286,62.973684210526315,79.60645161290323,0.6042397114439871,0.00021711130742914974,0.008,0.004,0.0055,0.0112,0.0604,qlearning,frozenlake_8x8_stochastic,6
0.204,630.0,611.7825,0.063,49.0223,0.5537067317013696,15.7733,2.2153054495574906,0.204,83.328,70.18627450980392,86.69597989949749,0.629408342140581,0.0002474212722154334,0.0,0.001,0.0025,0.0096,0.063,qlearning,frozenlake_8x8_stochastic,7
0.408,660.0,636.39,0.066,48.5268,0.5497283446413492,15.8361,2.1688479910371825,0.408,77.19,63.32843137254902,86.74324324324324,0.6100457405064403,0.00023110037203878165,0.002,0.004,0.0035,0.0126,0.066,qlearning,frozenlake_8x8_stochastic,8
0.21,635.5,617.8134784254806,0.0636,49.378,0.5538964252380386,15.8147,2.242924452526495,0.21,80.824,69.1047619047619,83.93924050632911,0.6065643876555233,0.00023964908136986195,0.002,0.001,0.0015,0.0098,0.0636,qlearning,frozenlake_8x8_stochastic,9
0.278,636.0,613.21,0.0636,49.1787,0.5518082433319961,15.8376,2.1786610429990105,0.278,71.604,68.93525179856115,72.63157894736842,0.6148368145695663,0.000212859497172758,0.002,0.001,0.0015,0.0104,0.0636,qlearning,frozenlake_8x8_stochastic,10
0.46,581.0,557.19,0.0581,49.0006,0.553443100962132,15.7524,2.1789195165620185,0.46,69.516,64.8391304347826,73.5,0.5731577848926568,0.0002086695139296353,0.0,0.002,0.0025,0.0112,0.0581,qlearning,frozenlake_8x8_stochastic,11
0.352,588.0,578.3242337730574,0.0588,49.5147,0.5538424412261215,15.778,2.218340136867482,0.352,80.97,65.46022727272727,89.39506172839506,0.638367936233299,0.00024228783929720521,0.004,0.002,0.0015,0.0094,0.0588,qlearning,frozenlake_8x8_stochastic,12
0.376,564.0,542.4925000000001,0.0564,49.1707,0.5568668524493868,15.5428,2.217381653492339,0.376,80.94,67.84574468085107,88.8301282051282,0.6296847505479282,0.00023977526545058937,0.0,0.0,0.0,0.0082,0.0564,qlearning,frozenlake_8x8_stochastic,13
0.3,653.5,633.5079228699251,0.0654,49.538,0.5542401863267,15.8911,2.2128254314884543,0.3,78.02,66.62,82.90571428571428,0.5813861702467498,0.00023438911512494088,0.004,0.003,0.003,0.0086,0.0654,qlearning,frozenlake_8x8_stochastic,14
0.158,669.0,650.6474999999999,0.0669,49.1391,0.5539913847582965,15.8298,2.1804073732928373,0.158,83.208,68.56962025316456,85.95486935866984,0.6563282262883444,0.0002492385453078896,0.0,0.001,0.001,0.0116,0.0669,qlearning,frozenlake_8x8_stochastic,15
0.352,613.0,592.2925,0.0613,49.0444,0.5533390209032188,15.8197,2.190393709053751,0.352,72.712,64.36931818181819,77.24382716049382,0.6020609514695984,0.00021482942218426616,0.002,0.001,0.0025,0.01,0.0613,qlearning,frozenlake_8x8_stochastic,16
0.0,2.0,2.0,0.0002,50.4333,0.6295539025394513,11.5573,2.2782874011900276,0.0,100.0,0.0,100.0,0.8438000000000001,0.0002934006694704294,0.0,0.0,0.0005,0.0004,0.0002,qlearning,frozenlake_8x8_stochastic,17
0.008,670.0,653.2774999999999,0.067,48.8874,0.5542635806936496,15.7969,2.216715252783615,0.008,85.102,52.5,85.3649193548387,0.6037090355818114,0.0002544128446606919,0.0,0.001,0.001,0.0072,0.067,qlearning,frozenlake_8x8_stochastic,18
0.14,614.5,591.2623924847985,0.0615,49.366,0.5548348531224925,15.7876,2.248947642627172,0.14,92.224,70.64285714285714,95.73720930232558,0.6811918694735537,0.0002719687009230256,0.004,0.003,0.003,0.0126,0.0615,qlearning,frozenlake_8x8_stochastic,19
0.314,669.5,648.2425000000001,0.067,49.6341,0.553812733966357,15.841,2.231941977108363,0.314,78.352,68.08917197452229,83.04956268221575,0.5927734753527889,0.00025009799061808736,0.004,0.002,0.0045,0.0102,0.067,qlearning,frozenlake_8x8_stochastic,20
0.42,643.0,620.455209897024,0.0643,48.866,0.5496818464074308,15.7806,2.247774039860815,0.42,78.806,67.11904761904762,87.26896551724138,0.6336618635330571,0.00024842399056069554,0.002,0.001,0.0015,0.012,0.0643,qlearning,frozenlake_8x8_stochastic,21
0.0,1.0,1.0,0.0001,50.23,0.6285521307905406,11.5465,2.276257337129209,0.0,100.0,0.0,100.0,0.844,0.0002921254028333351,0.0,0.0,0.0,0.0002,0.0001,qlearning,frozenlake_8x8_stochastic,22
0.574,669.5,644.1796362996699,0.067,49.2289,0.5526714139029983,15.825,2.2545268523390405,0.574,71.096,62.64459930313589,82.48356807511738,0.6434688782756323,0.0002137194719398394,0.002,0.002,0.004,0.0122,0.067,qlearning,frozenlake_8x8_stochastic,23
0.172,613.0,599.7717670925468,0.0613,48.7897,0.5523760828694226,15.7184,2.20126688311575,0.172,63.642,59.25581395348837,64.55314009661836,0.5927494395794461,0.00019226752861868591,0.004,0.004,0.0065,0.0104,0.0613,qlearning,frozenlake_8x8_stochastic,24
0.41,648.0,620.6791678284437,0.0648,48.9737,0.5501357040572133,15.828,2.2918308642692864,0.41,78.088,67.50243902439024,85.44406779661017,0.6975794514532616,0.0002399953620042652,0.002,0.001,0.002,0.0096,0.0648,qlearning,frozenlake_8x8_stochastic,25
0.328,684.5,668.6374999999998,0.0685,49.0381,0.5526999279664302,15.8362,2.2872305287746713,0.328,80.478,65.59146341463415,87.74404761904762,0.648658422966474,0.0002466299786465242,0.002,0.001,0.003,0.0126,0.0685,qlearning,frozenlake_8x8_stochastic,26
0.364,595.0,566.1846976147881,0.0595,49.4853,0.5506003016974249,15.8555,2.339810673322063,0.364,74.364,62.98351648351648,80.87735849056604,0.5942815991280247,0.00022457508032675832,0.004,0.003,0.004,0.0112,0.0595,qlearning,frozenlake_8x8_stochastic,27
0.274,675.0,654.90535876944,0.0675,49.6641,0.5564439737716788,15.801,2.449941419006791,0.274,79.368,65.73722627737226,84.51239669421487,0.6260783297708381,0.000246766650583595,0.004,0.003,0.005,0.0108,0.0675,qlearning,frozenlake_8x8_stochastic,28
0.518,612.0,575.275,0.0612,48.9603,0.5537066393246303,15.7313,2.3745828913524747,0.518,73.832,63.447876447876446,84.99170124481327,0.6077789026039981,0.00032016307313460855,0.002,0.001,0.0035,0.0102,0.0612,qlearning,frozenlake_8x8_stochastic,29
0.0,0.0,0.0,0.0,27.7961,0.6958689191447879,4.4996,1.3612473151879385,0.0,100.0,0.0,100.0,1.0,0.00034070924797561017,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,0
0.0,0.0,0.0,0.0,27.523,0.6969394890811372,4.4829,1.3944112085155211,0.0,100.0,0.0,100.0,1.0,0.00031908933550585063,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,1
0.0,0.0,0.0,0.0,27.4392,0.6929646376270672,4.5118,1.3877165990998037,0.0,100.0,0.0,100.0,1.0,0.00032898281316738576,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,2
0.0,0.0,0.0,0.0,27.5576,0.6927778119755745,4.5281,1.464906944311224,0.0,100.0,0.0,100.0,1.0,0.0003404990247217938,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,3
0.0,0.0,0.0,0.0,27.6828,0.6940786259096373,4.5095,1.4380952920182608,0.0,100.0,0.0,100.0,1.0,0.0004401999309193343,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,4
0.0,0.0,0.0,0.0,27.6462,0.6923379493199093,4.4959,1.422885435342323,0.0,100.0,0.0,100.0,1.0,0.00033014741737861185,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,5
0.0,0.0,0.0,0.0,27.6725,0.6956076325792162,4.5097,1.4537270436994731,0.0,100.0,0.0,100.0,1.0,0.0003334554840112105,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,6
0.0,1.0,1.0,0.0001,27.6995,0.6952659872191751,4.5297,1.473244427877944,0.0,100.0,0.0,100.0,1.0,0.00032499294821172953,0.0,0.0,0.0005,0.0002,0.0001,qlearning,custom_loop,7
0.0,0.0,0.0,0.0,27.1466,0.6911575893575788,4.5009,1.4590710977790877,0.0,100.0,0.0,100.0,1.0,0.0003304047287674621,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,8
0.0,0.0,0.0,0.0,27.801,0.6946806323606646,4.5025,1.5403018120559864,0.0,100.0,0.0,100.0,1.0,0.0003325295171234757,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,9
0.0,0.0,0.0,0.0,27.8961,0.6950800353335338,4.5162,1.5001065083197318,0.0,100.0,0.0,100.0,1.0,0.00030928410904016346,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,10
0.0,0.0,0.0,0.0,27.3465,0.6943310603811614,4.5085,1.2603778877528384,0.0,100.0,0.0,100.0,1.0,0.00033430224121548235,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,11
0.0,0.0,0.0,0.0,28.1743,0.6953105857777656,4.5166,1.263394906069152,0.0,100.0,0.0,100.0,1.0,0.00029336384555790575,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,12
0.0,0.0,0.0,0.0,27.6372,0.6946287858062653,4.4994,1.223445002862718,0.0,100.0,0.0,100.0,1.0,0.00029302383551839736,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,13
0.0,0.0,0.0,0.0,27.3917,0.6920642464198226,4.5267,1.2150972861563787,0.0,100.0,0.0,100.0,1.0,0.00029210691002663227,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,14
0.0,0.0,0.0,0.0,27.2854,0.6949405725708101,4.496,1.2118069151765667,0.0,100.0,0.0,100.0,1.0,0.00029054183035623284,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,15
0.0,0.0,0.0,0.0,27.3628,0.696467800907007,4.4926,1.2185798453283496,0.0,100.0,0.0,100.0,1.0,0.00029243617760948835,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,16
0.0,0.0,0.0,0.0,27.6025,0.6941261696025826,4.5072,1.2230365524301305,0.0,100.0,0.0,100.0,1.0,0.0002880534802097827,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,17
0.0,0.0,0.0,0.0,27.8434,0.6977694381552219,4.5185,1.2575294836424291,0.0,100.0,0.0,100.0,1.0,0.0002874335218220949,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,18
0.0,0.0,0.0,0.0,27.4316,0.696446674755278,4.4808,1.2055450395564549,0.0,100.0,0.0,100.0,1.0,0.0002891439212253317,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,19
0.0,0.0,0.0,0.0,27.3984,0.6950841912139831,4.4954,1.2056518144672737,0.0,100.0,0.0,100.0,1.0,0.0002924181580310687,0.0,0.0,0.0,0.0,0.0,qlearning,custom_loop,20
